,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
975,1000520,2,골목상권,목동동로8길,402600,120655,39686,42380,74739,58739,66401
976,1000519,2,골목상권,목동동로12길,705219,204786,81228,77108,134533,99538,108029
977,1000518,2,골목상권,목동남로4길,451850,93296,44706,49869,76764,68904,118312
978,1000517,2,골목상권,남부순환로88길,194299,54994,18501,24739,30889,27664,37511
979,1000516,2,골목상권,남부순환로79길,468066,77495,51550,76105,71231,80938,110746
980,1000515,2,골목상권,남부순환로70길,510126,74631,55355,64668,80015,83596,151859
981,1000514,2,골목상권,남부순환로58길,260747,48264,28302,36044,37104,40841,70193
982,1000513,2,골목상권,남부순환로40길,481416,67636,51109,64126,68659,83570,146317
983,1000512,2,골목상권,남부순환로33길,526707,84782,67924,75579,76783,80192,141448
984,1000511,2,골목상권,곰달래로5길,490530,64481,54884,68008,70213,83069,149874
985,1000510,2,골목상권,곰달래로3길,883546,133591,88391,123194,134757,145385,258226
986,1000509,2,골목상권,곰달래로2길,706916,96155,79865,118893,115520,110583,185903
987,1000508,2,골목상권,곰달래로10길,533652,64454,65789,90480,87149,80119,145660
988,1000507,2,골목상권,가로공원로58길,389326,60706,37557,48520,57923,62380,122241
989,1000506,2,골목상권,효창원로93길,1313567,199477,211786,199816,209174,219367,273945
990,1000505,2,골목상권,토정로37길,369746,70273,37168,67144,78600,49246,67315
991,1000504,2,골목상권,월드컵로8길,705769,49973,173491,174227,123090,84147,100842
992,1000503,2,골목상권,월드컵로7길,365768,36616,78269,87107,59788,44600,59388
993,1000502,2,골목상권,월드컵로36길,977276,162159,161938,165200,169446,129250,189283
994,1000501,2,골목상권,월드컵로25길,969439,158861,148183,174832,169229,130684,187648
995,1000500,2,골목상권,월드컵로19길,849280,86522,175025,177750,136996,105061,167926
996,1000499,2,골목상권,월드컵로16길,927922,108472,182941,198233,165649,109807,162818
997,1000498,2,골목상권,월드컵로11길,567642,52584,113763,137167,91966,67658,104503
998,1000497,2,골목상권,월드컵로10길,668637,53742,140322,159395,126991,85710,102478
999,1000496,2,골목상권,와우산로3길,322450,28167,80551,81972,47470,30047,54245
1000,1000495,2,골목상권,와우산로29길,480043,53457,165001,97329,65105,42282,56868
1001,1000494,2,골목상권,와우산로29가길,260431,28982,97325,54016,33309,20389,26411
1002,1000493,2,골목상권,양화진길,516263,43567,127340,125246,82391,65211,72508
1003,1000492,2,골목상권,양화로1길,687471,55584,156054,161706,120182,83179,110767
1004,1000491,2,골목상권,양화로11길,467188,30516,123312,115433,79498,55291,63139
1005,1000490,2,골목상권,신촌로30길,498193,84417,65917,95535,84207,70664,97452
1006,1000489,2,골목상권,신촌로28가길,447985,73378,70909,76755,76163,67037,83744
1007,1000488,2,골목상권,신촌로12길,720941,61772,244421,131404,87443,85510,110392
1008,1000487,2,골목상권,숭문길,818361,161812,106835,140167,167115,110429,132002
